Entity,Code,Year,Solar PV (Terawatt-hours)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0
Africa,,1994,0
Africa,,1995,0
Africa,,1996,0
Africa,,1997,0
Africa,,1998,0
Africa,,1999,0
Africa,,2000,0.002
Africa,,2001,0.002
Africa,,2002,0.02331313131313106
Africa,,2003,0.02331313131313106
Africa,,2004,0.02532323232323206
Africa,,2005,0.028323232323232056
Africa,,2006,0.03193333333333306
Africa,,2007,0.03385761633333306
Africa,,2008,0.0891147993059358
Africa,,2009,0.1267655503333331
Africa,,2010,0.24557092282828247
Africa,,2011,0.4009341926919182
Africa,,2012,0.5459243130680077
Africa,,2013,0.81273131220101
Africa,,2014,1.8065177992010097
Africa,,2015,3.534706303600001
Africa,,2016,4.712725862459121
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0.0091
Algeria,DZA,2011,0.01811875
Algeria,DZA,2012,0.02672301369863014
Algeria,DZA,2013,0.028600000000000004
Algeria,DZA,2014,0.06
Algeria,DZA,2015,0.058
Algeria,DZA,2016,0.205
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0.000017
Argentina,ARG,1999,0.000026
Argentina,ARG,2000,0.000036
Argentina,ARG,2001,0.000043
Argentina,ARG,2002,0.000047
Argentina,ARG,2003,0.000065
Argentina,ARG,2004,0.00007
Argentina,ARG,2005,0.000081
Argentina,ARG,2006,0.00009
Argentina,ARG,2007,0.0001089
Argentina,ARG,2008,0.0001437
Argentina,ARG,2009,0.00007608399999999999
Argentina,ARG,2010,0.00008588999999999999
Argentina,ARG,2011,0.0016140000000000002
Argentina,ARG,2012,0.008172966799999999
Argentina,ARG,2013,0.015074078999999995
Argentina,ARG,2014,0.015944
Argentina,ARG,2015,0.014682999999999998
Argentina,ARG,2016,0.014271875999999998
Asia Pacific,,1965,0
Asia Pacific,,1966,0
Asia Pacific,,1967,0
Asia Pacific,,1968,0
Asia Pacific,,1969,0
Asia Pacific,,1970,0
Asia Pacific,,1971,0
Asia Pacific,,1972,0
Asia Pacific,,1973,0
Asia Pacific,,1974,0
Asia Pacific,,1975,0
Asia Pacific,,1976,0
Asia Pacific,,1977,0
Asia Pacific,,1978,0
Asia Pacific,,1979,0
Asia Pacific,,1980,0
Asia Pacific,,1981,0
Asia Pacific,,1982,0
Asia Pacific,,1983,0
Asia Pacific,,1984,0
Asia Pacific,,1985,0
Asia Pacific,,1986,0
Asia Pacific,,1987,0
Asia Pacific,,1988,0
Asia Pacific,,1989,0
Asia Pacific,,1990,0.003
Asia Pacific,,1991,0.010470202020201998
Asia Pacific,,1992,0.027721212121212098
Asia Pacific,,1993,0.04322121212121209
Asia Pacific,,1994,0.0545313131313131
Asia Pacific,,1995,0.0717914141414141
Asia Pacific,,1996,0.09829191919191908
Asia Pacific,,1997,0.14815686609243106
Asia Pacific,,1998,0.20305824999999988
Asia Pacific,,1999,0.28603602020202007
Asia Pacific,,2000,0.4269070424104052
Asia Pacific,,2001,0.6046531434609101
Asia Pacific,,2002,0.825702344323232
Asia Pacific,,2003,1.112103739474747
Asia Pacific,,2004,1.4584004680149436
Asia Pacific,,2005,1.844419184035146
Asia Pacific,,2006,2.2603242648484847
Asia Pacific,,2007,2.6677304706647926
Asia Pacific,,2008,3.249251751797868
Asia Pacific,,2009,4.3070858477294545
Asia Pacific,,2010,6.848653697156769
Asia Pacific,,2011,11.871427411035361
Asia Pacific,,2012,16.771927042593234
Asia Pacific,,2013,31.52345189138054
Asia Pacific,,2014,61.68599042305207
Asia Pacific,,2015,95.49859498229759
Asia Pacific,,2016,145.9957430950972
Australia,AUS,1965,0
Australia,AUS,1966,0
Australia,AUS,1967,0
Australia,AUS,1968,0
Australia,AUS,1969,0
Australia,AUS,1970,0
Australia,AUS,1971,0
Australia,AUS,1972,0
Australia,AUS,1973,0
Australia,AUS,1974,0
Australia,AUS,1975,0
Australia,AUS,1976,0
Australia,AUS,1977,0
Australia,AUS,1978,0
Australia,AUS,1979,0
Australia,AUS,1980,0
Australia,AUS,1981,0
Australia,AUS,1982,0
Australia,AUS,1983,0
Australia,AUS,1984,0
Australia,AUS,1985,0
Australia,AUS,1986,0
Australia,AUS,1987,0
Australia,AUS,1988,0
Australia,AUS,1989,0
Australia,AUS,1990,0
Australia,AUS,1991,0.00545
Australia,AUS,1992,0.012100000000000001
Australia,AUS,1993,0.014600000000000002
Australia,AUS,1994,0.0174
Australia,AUS,1995,0.02115
Australia,AUS,1996,0.0256
Australia,AUS,1997,0.03065
Australia,AUS,1998,0.0356
Australia,AUS,1999,0.040600000000000004
Australia,AUS,2000,0.04675
Australia,AUS,2001,0.05415
Australia,AUS,2002,0.0583
Australia,AUS,2003,0.06319999999999999
Australia,AUS,2004,0.07294999999999999
Australia,AUS,2005,0.08405
Australia,AUS,2006,0.0975
