Entity,Code,Year,Biofuels production (terrawatt-hours)
Africa,,1990,0.7245721099887767
Africa,,1991,0.7245721099887767
Africa,,1992,0.7265572390572388
Africa,,1993,0.7245721099887767
Africa,,1994,0.7245721099887767
Africa,,1995,0.7245721099887767
Africa,,1996,0.7265572390572388
Africa,,1997,1.086858164983167
Africa,,1998,1.086858164983167
Africa,,1999,0.7245721099887767
Africa,,2000,0.7265572390572388
Africa,,2001,0.7245721099887767
Africa,,2002,0.7245721099887767
Africa,,2003,0.7245721099887767
Africa,,2004,0.7265572390572388
Africa,,2005,0.7245721099887767
Africa,,2006,1.086858164983165
Africa,,2007,0.7245721099887767
Africa,,2008,1.3292630155872724
Africa,,2009,2.1078332163573497
Africa,,2010,0.8784834647211037
Africa,,2011,0.8784834647211037
Africa,,2012,2.6524029887272373
Africa,,2013,3.745525928932642
Africa,,2014,4.68190741114859
Africa,,2015,4.68190741114859
Africa,,2016,4.694734554740778
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0
Argentina,ARG,1999,0
Argentina,ARG,2000,0.5320603488920325
Argentina,ARG,2001,1.0612132641835588
Argentina,ARG,2002,1.0612132641835588
Argentina,ARG,2003,1.0612132641835588
Argentina,ARG,2004,1.064120697784069
Argentina,ARG,2005,1.0612132641835588
Argentina,ARG,2006,3.5459258475450746
Argentina,ARG,2007,20.136187589983166
Argentina,ARG,2008,73.89035723905725
Argentina,ARG,2009,122.64002785544861
Argentina,ARG,2010,194.244407643932
Argentina,ARG,2011,259.831699877828
Argentina,ARG,2012,266.8905580963884
Argentina,ARG,2013,234.17338258438744
Argentina,ARG,2014,307.49709192833325
Argentina,ARG,2015,236.9910106711111
Argentina,ARG,2016,328.86250333222233
Asia Pacific,,1990,0
Asia Pacific,,1991,0
Asia Pacific,,1992,0
Asia Pacific,,1993,0
Asia Pacific,,1994,0
Asia Pacific,,1995,0
Asia Pacific,,1996,0
Asia Pacific,,1997,0
Asia Pacific,,1998,0
Asia Pacific,,1999,0
Asia Pacific,,2000,10.535079966330006
Asia Pacific,,2001,11.399188281923449
Asia Pacific,,2002,30.34418446804995
Asia Pacific,,2003,62.69376468896882
Asia Pacific,,2004,77.15813390862895
Asia Pacific,,2005,105.93706249593214
Asia Pacific,,2006,168.21976288811908
Asia Pacific,,2007,218.19135332070397
Asia Pacific,,2008,357.5013142916954
Asia Pacific,,2009,399.4743453734619
Asia Pacific,,2010,500.7730586620116
Asia Pacific,,2011,614.0520908323688
Asia Pacific,,2012,732.7090428788212
Asia Pacific,,2013,866.4838096880081
Asia Pacific,,2014,1090.1420828452005
Asia Pacific,,2015,985.7136294293261
